dataset_version,queId,difficulty,qtype,problem,knowledge_point_routes
2023-07-07,559135fce0cc43d09bcdb784b6b68b16,1,short_answer,$$5^{2}+6^{2}+7^{2}+\cdots +15^{2}$$. ,['Overseas Competition->Knowledge Point->Calculation Modules->Operations through Formulas->1²+2²+3²+......+n²=1/6n(n+1)(n+2)']
2023-07-07,3ae45bd14e7f417c9f717caaa1c8e5f6,1,short_answer,"There are $206$ bones in the human body. The bones in the hands account for $\dfrac{27}{103}$~of the total. If the finger bones account for $\dfrac{14}{27}$~of the total hand bones, how many finger bones are there in the human body? ",['Overseas Competition->Knowledge Point->Word Problem Modules->Solving Problems Involving Fractions and Percentages->Knowing the Base']
2023-07-07,b59c5c8afae1475392bc408efcd4db9b,0,short_answer,The math class in Think Academy starts at $9:00$ and ends at $10:00$. How long does the whole class last? ,['Overseas Competition->Knowledge Point->Combinatorics->Time Problem']
2023-07-07,5c4e76cbed394941b52264c055387694,1,short_answer,"Jia Jia spent $20 \%$ of her money on a bag and $40 \%$ of the remainder on a skirt. If she had $ $90$ left, how much did she have at first? $ $$~\uline{~~~~~~~~~~}~ ",['Overseas Competition->Knowledge Point->Calculation Modules']
2023-07-07,04ba6a8bbd934c9fb2c34951b1c5e1b9,2,short_answer,"Students from Year 4 line up and form a square array, and there is a surplus of $5$ students. If one row and one column are added to form a larger square array, $26$ more students are needed. Find the number of students in Year 4. ",['Overseas Competition->Knowledge Point->Word Problem Modules->Questions Involving Squares->Solid Squares']
2023-07-07,7598dc1e2b3942f987670ac551b91e44,1,short_answer,$36$ students each went to one revision class.  $\dfrac{1}{6}$~of the students went to the physics revision class.  $\dfrac{2}{9}$~of the students went to the biology revision class.  All of the other students went to the chemistry revision class.  How many students went to the chemistry revision class? ,['Overseas Competition->Knowledge Point->Word Problem Modules->Solving Problems Involving Fractions and Percentages->Knowing the Base']
2023-07-07,55d37813feb54cc0939c8d521cc804ed,1,short_answer,Amy has $$37$$ apples and John has $$15$$ apples. How many apples does Amy have to give John so that she has exactly $$4$$ more apples than John? ,"['Overseas Competition->Knowledge Point->Word Problem Modules->Questions Involving Sum, Difference and Multiples->Problems Involving Sum and Difference']"
2023-07-07,f0976cf87d42410886ef671aee576759,1,short_answer,$$167-43=$$~\uline{~~~~~~~~~~}~ ,['Overseas Competition->Knowledge Point->Calculation Modules->Whole Numbers->Whole Numbers Addition and Subtraction ']
2023-07-07,e17f0eb85a0a4e86a5fdc51debd2ae80,1,short_answer,"A property owner sold two terraced houses at ￡$99000$ each. Based on what he had paid for them, the profit on one was $10 \%$ and the loss on the other was $10 \%$. Overall, did the property owner make a profit or loss? Calculate the amount of profit or loss. ",['Overseas Competition->Knowledge Point->Word Problem Modules->Solving Problems Involving Fractions and Percentages']
2023-07-07,743c478b487e4e84b54812fd75dcf6e2,1,short_answer,There are $$9$$ different potted plants in a garden. How many ways can $$4$$ potted plants be arranged in a row? ,"['Overseas Competition->Knowledge Point->Counting Modules->Permutations and Combinations->Combinations', 'Overseas Competition->Knowledge Point->Counting Modules->Permutations and Combinations->Questions Involving Permutations and Combinations ']"
